MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Pressure,Temp,RainTomorrow
8,24.3,NW,30,29,1015,23.6,Yes
14,26.9,ENE,39,36,1008.4,25.7,Yes
13.7,23.4,NW,85,69,1007.2,20.2,Yes
13.3,15.5,NW,54,56,1007,14.1,Yes
7.6,16.1,SSE,50,49,1018.5,15.4,No
6.2,16.9,SE,44,57,1021.7,14.8,No
6.1,18.2,SE,43,47,1022.2,17.3,No
8.3,17,E,41,57,1024.2,15.5,No
8.8,19.5,S,48,48,1022.7,18.9,Yes
8.4,22.8,E,31,32,1020.7,21.7,No
9.1,25.2,N,30,34,1021.1,24,No
8.5,27.3,E,41,35,1019.9,26,No
10.1,27.9,WNW,30,29,1017.1,27.1,No
12.1,30.9,NW,44,20,1013.1,30.7,No
10.1,31.2,NW,41,16,1013.7,30.4,No
12.4,32.1,E,46,22,1012.8,30.7,No
13.8,31.2,ESE,44,23,1009.8,29.8,Yes
11.7,30,S,52,26,1013,28.6,No
12.4,32.3,E,39,25,1013.3,31.2,No
15.6,33.4,NE,33,27,1013.7,32,No
15.3,33.4,WNW,59,26,1006.5,32.8,No
16.4,19.4,E,26,72,1008.9,18.3,Yes
12.8,18.5,ESE,28,79,1014.9,16.8,No
12,24.3,NNE,26,57,1019.2,22.8,No
15.4,28.4,ENE,33,31,1018.6,27.3,No
15.6,26.9,E,41,48,1016.5,25.1,No
13.3,22.2,ENE,39,55,1018.6,21.2,No
12.9,28,S,52,31,1014.8,26.7,No
15.1,24.3,SE,39,80,1017.1,19.7,No
13.6,24.1,NNW,30,49,1013.3,23.2,Yes
15.1,20.4,SSE,41,90,1014.1,16.3,Yes
11.6,26.3,NNE,41,46,1009.5,25.2,No
16.6,24.2,NW,50,60,1004.6,19.9,Yes
13.3,26.5,NW,50,40,1006.3,25.1,No
14.5,21.8,ENE,43,63,1015.3,20.5,No
16.3,26.8,ENE,39,54,1016.1,24.5,No
17.2,25.8,SW,41,74,1011.5,22.6,Yes
16.5,28.2,NE,39,42,1011.4,26.3,No
15,29.4,NW,43,24,1008.5,28.6,No
14.9,24.8,NNW,35,37,1010.4,22.9,No
11.8,18.5,ENE,35,63,1017.4,16.4,No
11.7,21.5,ENE,41,51,1019.6,19.4,No
9.6,20.3,SE,39,49,1019.3,19.2,No
8.9,27.1,E,35,37,1012.5,25,No
10.1,29.9,E,41,36,1010.2,29.1,Yes
15.5,21.1,S,31,86,1008.6,20,Yes
10.8,21.7,ESE,48,40,1016.8,20.8,No
7.5,20.9,ENE,39,43,1018.3,19.8,No
12.8,21,NE,22,54,1015.6,20,Yes
12.6,23.1,NNW,30,74,1014.1,20.4,Yes
14.8,29.5,N,41,48,1008.3,28.2,Yes
19.9,22,NNW,76,62,996.8,19.6,Yes
9.2,20.4,ENE,39,49,1009.1,18.8,No
12.4,24.4,NW,44,43,1009.7,22.5,Yes
11.3,21.7,E,41,52,1019.1,21,No
9.8,26.3,NNW,41,35,1018,23.9,No
14.3,26.7,NNW,65,64,1014.3,19,Yes
15.1,28.3,NNW,28,44,1013.4,27.4,No
14.4,31.6,NNW,30,30,1014.2,30.3,No
15.4,35,E,39,18,1015,34.3,No
13.8,33.5,NE,31,20,1015.6,32.2,No
13.6,34.2,NNE,35,20,1011.6,31.8,No
14.3,35,ESE,41,14,1008.7,33.6,No
15.9,23.4,ESE,50,55,1016.3,22.3,No
16.7,25.3,ESE,46,45,1013,23.9,No
12.1,27.5,NE,35,40,1007.4,26.8,No
14.3,34.1,ENE,39,34,1003.3,31.9,No
16.5,33.9,ENE,39,36,1009.5,31.3,No
16.5,30.3,E,46,44,1013.4,28,No
17.5,29.9,E,43,45,1015.9,27.9,No
14.7,34.2,NE,33,25,1013.3,32.2,No
17.5,35.8,SSE,57,24,1006.5,34.5,No
20.9,35.7,SW,50,28,1003,34,Yes
17,33.8,WNW,52,35,1001.8,31.8,No
16,22.8,E,50,57,1012.3,21.6,No
15.4,33.8,W,35,26,1009,31.7,No
17.9,33.2,N,59,62,1006.1,23.5,Yes
15.2,25.1,E,46,42,1015,23.9,No
15.1,20.4,ESE,39,55,1015.8,19.4,Yes
15.3,19.6,NE,33,88,1006,18.6,Yes
17.2,24.7,NW,50,71,1004,21.9,No
15.9,19.9,E,48,58,1012.1,18.6,No
10,22.5,E,33,46,1016.8,22.2,No
9.9,24.4,NE,28,38,1019.2,22.7,No
10.3,27.8,ENE,35,29,1018.1,26.3,No
15.4,25.7,E,41,32,1016.9,24.6,No
12.7,28.8,NNE,28,28,1012.4,28.3,No
13.2,31.3,WSW,46,28,1009.5,30.7,No
15.3,33.2,NNW,44,18,1012,32.1,No
17.9,33.9,ENE,46,22,1014.6,32.3,No
18,34.9,NW,69,29,1013.7,33.1,Yes
17.6,27.8,ESE,39,49,1012.8,26.3,Yes
16,23.8,SSE,30,49,1017.1,22.9,No
14.9,28.8,NNE,30,44,1014.5,27,No
17.1,29.6,E,48,38,1012.8,29.1,Yes
18.2,22.6,ENE,33,76,1011.5,22.1,Yes
16.8,22.8,ESE,30,71,1007.8,21.5,No
13.6,27.4,W,52,41,997.5,26.5,No
14.5,24.2,SSW,61,76,998.9,20.3,Yes
12.4,19.9,ENE,41,58,1005,18.7,No
10.4,20.9,SSE,33,51,1006.8,18.7,No
9.1,23.1,ENE,41,37,1011.4,21.4,No
8.9,26,NE,31,34,1011.7,24.2,Yes
14.5,24.2,W,48,60,1006.8,22.6,Yes
12.6,18.2,ENE,30,73,1011,16.8,No
8.6,24.2,E,33,37,1015.1,22,No
10.8,25.2,ENE,35,32,1016.7,24.3,No
11.2,26.1,ENE,39,40,1020,24.7,No
12.1,24.1,ENE,46,46,1021.4,22.5,No
10.8,25.8,E,31,42,1017.4,24.1,No
11.4,27.1,NE,33,38,1012.8,26.1,No
12,28.9,ESE,39,31,1009.1,28.6,Yes
16.3,24.8,S,50,56,1008.4,24,Yes
12.7,28.6,W,50,42,1002.3,27.4,No
12.7,25.1,NW,46,32,1005.4,24.5,No
12,23.8,NW,44,34,1007.2,22.9,No
11.5,25.9,ENE,44,35,1014.3,24.3,No
13,28.2,NW,44,27,1014.4,27,No
11.7,27.6,W,48,25,1009.1,26.8,No
14.8,17.3,SSE,48,78,1009.9,15.3,Yes
7.7,18.4,S,48,34,1014.5,16.8,No
4.4,21.8,S,35,31,1019.3,20,No
7.4,24.4,E,35,37,1023.2,22.1,No
8.3,27.3,E,35,28,1020.4,25.5,No
10.1,28.2,ESE,39,28,1018.2,27,No
12,27.6,E,46,35,1022.2,26.2,No
12.9,31.8,WSW,41,24,1019.3,30,No
10.8,29.2,E,50,34,1017.7,27.7,Yes
9.5,27.4,NNW,24,39,1020.7,24.9,No
12.1,27.8,E,41,33,1023.1,27,No
12.5,31.7,WNW,24,28,1020.4,30.1,No
13.9,34.7,SSW,46,18,1019.3,32.7,No
13.3,31.7,WNW,44,23,1017.6,30.7,No
13.2,33.1,ENE,39,18,1017.7,31.7,No
12.3,33.8,W,22,15,1019.1,32.7,No
13.8,35.2,SE,48,15,1019.3,34.1,No
11.3,32.3,NE,28,17,1020.7,30.5,No
11.7,30.2,NE,33,22,1020.6,28.8,No
12.5,29.9,NW,43,30,1018.8,29.2,No
15.1,26.2,NE,31,48,1018.7,24.5,No
11.5,29.3,NW,46,35,1009.4,27.6,No
13,14.8,SE,30,62,1019.3,13.9,No
11.6,19.6,E,33,64,1021.8,17.9,No
12.8,24.9,ENE,30,44,1019.3,24.2,No
